 it |          δμ |              δocc orb |    δimp occ |       δGimp |         δG0 |          δΣ 
  1 | 1.14047e-01 |            1.14181e-03 | 1.14181e-03 | 7.58872e-02 | 2.72357e-01 | 1.00132e+00
  2 | 7.25440e-04 |            2.25119e-04 | 2.25119e-04 | 2.93733e-02 | 6.47235e-03 | 6.52948e-01
  3 | 3.18832e-03 |            4.59519e-04 | 4.59519e-04 | 1.35845e-02 | 3.15768e-03 | 6.20147e-01
  4 | 1.61596e-03 |            1.79654e-03 | 1.79654e-03 | 6.31553e-03 | 1.56934e-03 | 4.74428e-01
  5 | 1.01002e-02 |            1.70682e-04 | 1.70682e-04 | 3.09937e-03 | 1.09102e-03 | 3.06559e-01
  6 | 9.26756e-03 |            1.18919e-04 | 1.18919e-04 | 1.65650e-03 | 8.62146e-04 | 1.87980e-01
  7 | 8.80113e-03 |            1.50238e-03 | 1.50238e-03 | 9.56969e-04 | 7.58472e-04 | 1.06747e-01
  8 | 1.71143e-03 |            1.07880e-04 | 1.07880e-04 | 3.86345e-04 | 2.07653e-04 | 3.76592e-02
  9 | 2.32805e-03 |            1.99209e-04 | 1.99209e-04 | 4.42520e-04 | 1.98304e-04 | 3.20716e-02
 10 | 3.17449e-03 |            1.82727e-04 | 1.82727e-04 | 3.99761e-04 | 2.72677e-04 | 3.39448e-02
