 it |         mu | G(beta/2) per orbital |  orbital occs up+down |      impurity occ
  0 |   12.79717 |              -0.32562 |               0.99991 |           0.99991
  1 |   12.91122 |              -0.05522 |               1.00106 |           1.00106
  2 |   12.91050 |              -0.03159 |               1.00083 |           1.00083
  3 |   12.90731 |              -0.01743 |               1.00037 |           1.00037
  4 |   12.90569 |              -0.00838 |               1.00217 |           1.00217
  5 |   12.89559 |              -0.00498 |               1.00200 |           1.00200
  6 |   12.88632 |              -0.00280 |               1.00188 |           1.00188
  7 |   12.87752 |              -0.00175 |               1.00038 |           1.00038
  8 |   12.87581 |              -0.00170 |               1.00048 |           1.00048
  9 |   12.87348 |              -0.00262 |               1.00068 |           1.00068
 10 |   12.87031 |              -0.00198 |               1.00050 |           1.00050
